"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"3153","八洲電機","東P","1799","-7.0(-0.39%)","1,799.0","39,187"
"3154","メディアスＨＬＤＧ","東P","888","-1.0(-0.11%)","888.0","19,748"
"3156","レスター","東P","2442","+7.0(+0.29%)","2,442.0","73,437"
"3167","ＴＯＫＡＩ　ＨＬＤＧ","東P","939","+3.0(+0.32%)","939.0","131,160"
"3176","三洋貿易","東P","1451","-6.0(-0.41%)","1,451.0","42,090"
"3179","シュッピン","東P","1024","-8.0(-0.78%)","1,024.0","23,765"
"3180","ビューティガレージ","東P","1405","+30.0(+2.18%)","1,405.0","17,917"
"3182","オイシックス・ラ・大地","東P","1347","+7.0(+0.52%)","1,347.0","51,224"
"3183","ウイン・パートナーズ","東P","1305","-7.0(-0.53%)","1,305.0","39,807"
"3186","ネクステージ","東P","1479","-10.0(-0.67%)","1,479.0","119,518"
"3191","ジョイフル本田","東P","1918","-2.0(-0.10%)","1,918.0","125,462"
"3193","エターナルホスピタリティグルー","東P","2546","-28.0(-1.09%)","2,546.0","29,590"
"3196","ホットランド","東P","2096","-8.0(-0.38%)","2,096.0","45,390"
"3197","すかいらーくＨＬＤＧ","東P","2533.5","+7.5(+0.30%)","2,533.5","576,377"
"3198","ＳＦＰ　ＨＬＤＧ","東P","2182","+13.0(+0.60%)","2,182.0","49,779"
"3199","綿半ＨＬＤＧ","東P","1650","+10.0(+0.61%)","1,650.0","32,932"
"3201","日本毛織","東P","1356","+11.0(+0.82%)","1,356.0","103,434"
"3221","ヨシックスＨＬＤＧ","東P","2830","+7.0(+0.25%)","2,830.0","29,322"
"3231","野村不動産ＨＬＤＧ","東P","4121.0","-23.0(-0.56%)","4,121.0","755,915"
"3232","三重交通グループＨＬＤＧ","東P","521","+2.0(+0.39%)","521.0","55,904"
"3245","ディア・ライフ","東P","1068","-5.0(-0.47%)","1,068.0","47,950"
"3252","地主","東P","2166","-1.0(-0.05%)","2,166.0","46,720"
"3276","ＪＰＭＣ","東P","1124","+3.0(+0.27%)","1,124.0","21,385"
"3284","フージャースＨＬＤＧ","東P","1095","+3.0(+0.27%)","1,095.0","40,424"
"3288","オープンハウスグループ","東P","5323.0","-19.0(-0.36%)","5,323.0","642,385"
"3289","東急不動産ＨＬＤＧ","東P","975.3","-22.9(-2.29%)","975.3","702,051"
"3291","飯田グループＨＬＤＧ","東P","2298.0","+8.0(+0.35%)","2,298.0","644,311"
"3302","帝国繊維","東P","2379","-37.0(-1.53%)","2,379.0","65,481"
"3315","日本コークス工業","東P","94","-1.0(-1.05%)","94.0","28,421"
"3319","ゴルフダイジェスト・オンライン","東P","343","-10.0(-2.83%)","343.0","6,268"
"3328","ＢＥＥＮＯＳ","東P","3975","+0.0(+0.00%)","3,975.0","54,096"
"3333","あさひ","東P","1452","-15.0(-1.02%)","1,452.0","38,102"
"3341","日本調剤","東P","1413","+10.0(+0.71%)","1,413.0","43,871"
"3349","コスモス薬品","東P","6812.0","-25.0(-0.37%)","6,812.0","544,971"
"3360","シップヘルスケアＨＬＤＧ","東P","2037.0","-22.0(-1.07%)","2,037.0","207,101"
"3371","ソフトクリエイトＨＬＤＧ","東P","2050","-11.0(-0.53%)","2,050.0","56,478"
"3382","セブン＆アイＨＬＤＧ","東P","2392.0","-8.0(-0.33%)","2,392.0","6,230,098"
"3387","クリエイト・レストランツＨＬＤ","東P","1293","+4.0(+0.31%)","1,293.0","275,169"
"3388","明治電機工業","東P","1467","-19.0(-1.28%)","1,467.0","18,727"
"3391","ツルハＨＬＤＧ","東P","9274.0","+103.0(+1.12%)","9,274.0","459,583"
"3393","スターティアＨＬＤＧ","東P","2309","+26.0(+1.14%)","2,309.0","23,645"
"3395","サンマルクＨＬＤＧ","東P","2306","-15.0(-0.65%)","2,306.0","62,126"
"3397","トリドールＨＬＤＧ","東P","3788.0","-40.0(-1.04%)","3,788.0","334,657"
"3401","帝人","東P","1316.5","+5.5(+0.42%)","1,316.5","260,606"
"3402","東レ","東P","987.0","-13.0(-1.30%)","987.0","1,610,272"
